x,y
-80,0
-70,0
-75,8.660254
-60,0
-65,8.660254
-70,17.320507
-50,0
-55,8.660254
-40,0
-45,8.660254
-50,17.320507
-60,17.320507
-65,25.98076
-55,25.98076
-60,34.641014
-30,0
-35,8.660254
-20,0
-25,8.660254
-30,17.320507
-10,0
-15,8.660254
0,0
-5,8.660254
-10,17.320507
-20,17.320507
-25,25.98076
-15,25.98076
-20,34.641014
-50,34.641014
-55,43.30127
-40,34.641014
-45,43.30127
-50,51.961525
-30,34.641014
-35,43.30127
-25,43.30127
-30,51.961525
-50,51.96152
-40,51.96152
-45,60.621773
-30,51.96152
-35,60.621773
-40,69.28203
10,0
5,8.660254
20,0
15,8.660254
10,17.320507
30,0
25,8.660254
40,0
35,8.660254
30,17.320507
20,17.320507
15,25.98076
25,25.98076
20,34.641014
50,0
45,8.660254
60,0
55,8.660254
50,17.320507
70,0
65,8.660254
80,0
75,8.660254
70,17.320507
60,17.320507
55,25.98076
65,25.98076
60,34.641014
30,34.641014
25,43.30127
40,34.641014
35,43.30127
30,51.961525
50,34.641014
45,43.30127
55,43.30127
50,51.961525
30,51.96152
40,51.96152
35,60.621773
50,51.96152
45,60.621773
40,69.28203
-30,69.28203
-35,77.94228
-30.000002,69.28203
-20.000002,69.28203
-25.000002,77.94228
-30.000002,86.60254
-10.000002,69.28203
-15.000002,77.94228
-0.0000019073486,69.28203
-5.000002,77.94228
-10.000002,86.60254
-20.000002,86.60254
-25.000002,95.262794
-15.000002,95.262794
-20.000002,103.92305
9.999998,69.28203
4.999998,77.94228
19.999998,69.28203
14.999998,77.94228
9.999998,86.60254
29.999998,69.28203
24.999998,77.94228
30,69.28203
35,77.94228
29.999998,86.60254
19.999998,86.60254
14.999998,95.262794
24.999998,95.262794
19.999998,103.92305
-20.000002,103.92304
-10.000002,103.92304
-15.000002,112.5833
-0.0000019073486,103.92304
-5.000002,112.5833
-10.000002,121.24355
9.999998,103.92304
4.999998,112.5833
19.999998,103.92304
14.999998,112.5833
9.999998,121.24355
-10.000002,121.243546
-0.0000019073486,121.243546
-5.000002,129.9038
9.999998,121.243546
4.999998,129.9038
-0.0000020116568,138.56404
